EC	MEC LIII Complex Pyramidal	313300	816	335	E	1	6
EC	MEC LIII BP Cmplx PC	133100	815	413	E	1	6
EC	LIII Pyramidal-Stellate	223200	812	377	E	1	6
EC	LIII Stellate	223000	814	270	E	1	6
EC	LIII-V Bipolar Pyramidal	223331	789	300	E	1	6
EC	LIV-V Pyramidal-Horiz	220233	778	433	E	1	6
EC	LIV-VI Deep Multipolar	333	710	215	E	1	6
EC	MEC LV Multipolar-PC	1331	760	395	E	1	6
EC	LV Deep Pyramidal	220033	745	285	E	1	6
EC	MEC LV Pyramidal	331131	720	490	E	1	6
EC	MEC LV Superficial PC	213330	747	455	E	1	6
EC	MEC LV-VI PC-Polymorph	23	732	350	E	1	6
EC	LEC LVI Multipolar-PC	1133	625	220	E	1	6
EC	LII Axo-Axonic	30000	750	110	I	0	6
EC	MEC LII Basket	31000	847	350	I	0	6
EC	LII Basket-Multipolar	230000	850	280	I	0	6
EC	LEC LIII Multipolar	23000	663	110	I	0	6
EC	MEC LIII Multipolar	113220	795	480	I	0	6
EC	MEC LIII Superficial MPI	233000	788	517	I	0	6
EC	LIII Pyramidal-Looking	23300	795	215	I	0	6
EC	MEC LIII Superficial Trilayer	333000	755	542	I	0	6
